scope,bars_bucket,n_trades,net_pnl,win_rate,profit_factor,avg_pnl
v3-min2bar,7-10,26,474.30000000000007,0.9230769230769231,54.29213483146068,18.242307692307694
v3-min2bar,11+,6,93.29999999999998,0.6666666666666666,5.936507936507937,15.549999999999997
v3-pctile,1,309,-1611.2999999999997,0.12297734627831715,0.09398633641654248,-5.214563106796116
v3-pctile,2,67,156.85000000000002,0.5970149253731343,2.440312213039486,2.3410447761194035
v3-pctile,3,40,292.0,0.7,12.274131274131275,7.3
v3-pctile,4-6,39,416.45000000000005,0.8461538461538461,22.690104166666668,10.67820512820513
v3-pctile,7-10,12,312.85,0.9166666666666666,46.01438848920864,26.070833333333336
v3-pctile,11+,8,184.39999999999998,0.75,8.715481171548117,23.049999999999997
v3-trail,1,398,-1223.6000000000001,0.25879396984924624,0.41461547661762954,-3.0743718592964826
v3-trail,2,62,127.85000000000007,0.5806451612903226,2.2540461010299166,2.0620967741935496
v3-trail,3,39,136.45000000000007,0.5128205128205128,3.621517771373679,3.4987179487179505
v3-trail,4-6,30,410.25000000000006,0.8666666666666667,25.78851963746224,13.675000000000002
v3-trail,7-10,7,22.600000000000005,0.7142857142857143,2.7865612648221343,3.228571428571429
v3-trail,11+,5,50.25,0.6,3.1025104602510463,10.05
v3.1-armor,1,15,-64.25000000000001,0.06666666666666667,0.027252081756245265,-4.283333333333334
v3.1-armor,2,2,-7.6499999999999995,0.5,0.1904761904761905,-3.8249999999999997
v3.1-armor,3,1,-1.95,0.0,0.0,-1.95
v3.1-armor,4-6,1,1.8,1.0,inf,1.8
v3.1-armor,7-10,1,9.3,1.0,inf,9.3
v3.1-canon,1,115,-414.25000000000006,0.14782608695652175,0.10403374067265059,-3.6021739130434787
v3.1-canon,2,25,20.0,0.56,1.4975124378109452,0.8
v3.1-canon,3,18,28.650000000000002,0.5555555555555556,2.311212814645309,1.5916666666666668
v3.1-canon,4-6,17,104.35000000000001,0.9411764705882353,24.44943820224719,6.1382352941176475
v3.1-canon,7-10,5,69.0,1.0,inf,13.8
v3.1-canon,11+,1,53.05,1.0,inf,53.05
v3.1-min2bar,1,79,-326.5499999999999,0.17721518987341772,0.10656634746922027,-4.133544303797467
v3.1-min2bar,2,29,9.700000000000006,0.5517241379310345,1.16072908036454,0.3344827586206899
v3.1-min2bar,3,20,4.750000000000001,0.4,1.1477449455676518,0.23750000000000004
