strategy_id,hour_ct,n_trades,net_pnl,win_rate,gross_win,gross_loss
v3-pctile,5,23,81.39999999999999,0.4782608695652174,128.55000000000004,47.150000000000006
v3-pctile,6,24,-84.30000000000001,0.20833333333333334,30.25,114.55000000000001
v3-pctile,7,27,91.09999999999998,0.3333333333333333,232.45,141.35
v3-pctile,8,14,10.200000000000003,0.21428571428571427,67.9,57.7
v3-pctile,10,20,35.300000000000004,0.5,111.75,76.45
v3-pctile,11,22,-166.64999999999992,0.18181818181818182,40.95,207.59999999999994
v3-pctile,12,24,-34.29999999999999,0.375,123.69999999999999,158.0
v3-pctile,13,28,-150.84999999999997,0.14285714285714285,67.2,218.04999999999995
v3-pctile,14,28,-75.85000000000001,0.2857142857142857,55.64999999999999,131.5
v3-pctile,15,21,-117.2,0.19047619047619047,24.700000000000003,141.89999999999995
v3-pctile,17,10,11.05,0.1,53.05,42.0
v3-pctile,18,10,40.499999999999986,0.5,53.99999999999999,13.5
v3-pctile,19,14,-48.55000000000001,0.2857142857142857,15.950000000000003,64.50000000000001
v3-pctile,20,10,11.750000000000004,0.4,50.95,39.2
v3-pctile,21,13,-17.849999999999994,0.3076923076923077,10.95,28.799999999999997
v3-pctile,22,18,3.649999999999997,0.4444444444444444,29.400000000000002,25.750000000000004
v3-pctile,23,32,-16.15,0.25,60.650000000000006,76.80000000000001
v3-trail,0,30,-22.25,0.3333333333333333,50.5,72.75000000000001
v3-trail,1,26,75.55,0.6923076923076923,112.4,36.85
v3-trail,2,32,41.35000000000001,0.375,111.60000000000001,70.25
v3-trail,3,32,73.85,0.46875,159.5,85.65
v3-trail,4,28,-18.349999999999987,0.39285714285714285,84.79999999999998,103.15
v3-trail,5,27,28.600000000000005,0.4074074074074074,96.05,67.45
v3-trail,6,26,-84.45000000000002,0.23076923076923078,38.3,122.75
v3-trail,7,28,-123.35,0.2857142857142857,61.89999999999999,185.24999999999997
v3-trail,8,21,-39.699999999999996,0.23809523809523808,96.5,136.2
v3-trail,9,23,107.64999999999998,0.5652173913043478,203.40000000000003,95.75000000000001
v3-trail,10,31,55.099999999999994,0.45161290322580644,216.45000000000005,161.34999999999994
v3-trail,11,23,-143.6,0.21739130434782608,64.0,207.59999999999994
v3-trail,12,24,-61.79999999999998,0.375,96.2,158.0
v3-trail,13,28,-145.84999999999997,0.21428571428571427,70.80000000000001,216.64999999999995
v3-trail,14,30,-97.25000000000001,0.26666666666666666,43.14999999999999,140.4
v3-trail,15,22,-106.65,0.2727272727272727,33.300000000000004,139.94999999999996
v3-trail,17,9,16.75,0.1111111111111111,55.55,38.8
v3-trail,18,11,32.29999999999998,0.45454545454545453,48.99999999999999,16.7
v3-trail,19,15,-43.0,0.26666666666666666,24.700000000000003,67.7
v3-trail,20,10,14.250000000000004,0.4,53.45,39.2
v3-trail,21,13,-15.349999999999994,0.38461538461538464,12.75,28.099999999999998
v3-trail,22,20,18.500000000000007,0.45,47.45,28.95
v3-trail,23,34,-41.30000000000001,0.23529411764705882,39.4,80.7
v3.1-armor,18,4,-6.55,0.25,1.8,8.35
v3.1-armor,19,6,-34.199999999999996,0.16666666666666666,1.8,36.0
v3.1-armor,20,3,-17.1,0.0,0.0,17.1
v3.1-armor,22,2,11.100000000000001,1.0,11.100000000000001,0.0
v3.1-armor,23,5,-16.0,0.0,0.0,16.0
v3.1-canon,0,17,-14.399999999999999,0.29411764705882354,27.75,42.150000000000006
v3.1-canon,1,13,-0.34999999999999787,0.5384615384615384,36.35,36.699999999999996
v3.1-canon,2,15,-17.999999999999996,0.4,18.3,36.3
v3.1-canon,3,21,-3.449999999999997,0.42857142857142855,42.449999999999996,45.900000000000006
v3.1-canon,4,12,45.349999999999994,0.5833333333333334,67.6,22.25
v3.1-canon,5,14,-28.549999999999997,0.2857142857142857,5.949999999999999,34.5
v3.1-canon,10,3,-10.85,0.0,0.0,10.85
v3.1-canon,11,1,-0.7,0.0,0.0,0.7
v3.1-canon,13,13,-77.85000000000001,0.0,0.0,77.85000000000001
v3.1-canon,14,2,3.6,1.0,3.6,0.0
v3.1-canon,15,11,-42.7,0.2727272727272727,20.400000000000002,63.10000000000001
v3.1-canon,17,1,53.05,1.0,53.05,0.0
v3.1-canon,18,4,-6.55,0.25,1.8,8.35
v3.1-canon,19,10,-31.999999999999993,0.3,14.150000000000002,46.150000000000006
v3.1-canon,20,6,-29.199999999999996,0.16666666666666666,3.05,32.25
v3.1-canon,21,8,-0.6000000000000005,0.25,8.6,9.2
