strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
session,2024-04-04T01:48:00+00:00,2024-04-04T02:10:00+00:00,buy,5275.75,5277.5,22.53,target,22
session,2024-04-04T02:10:00+00:00,2024-04-04T02:16:00+00:00,buy,5277.25,5276.5,-19.96,stop,6
session,2024-04-04T02:18:00+00:00,2024-04-04T02:28:00+00:00,buy,5275.75,5277.0,25.05,target,10
session,2024-04-04T02:28:00+00:00,2024-04-04T02:36:00+00:00,buy,5277.0,5278.0,22.560000000000002,target,8
session,2024-04-04T02:36:00+00:00,2024-04-04T02:48:00+00:00,buy,5278.0,5278.75,15.06,target,12
session,2024-04-04T02:48:00+00:00,2024-04-04T02:50:00+00:00,buy,5278.75,5278.0,-24.95,stop,2
session,2024-04-04T02:50:00+00:00,2024-04-04T03:00:00+00:00,buy,5278.25,5277.5,-19.96,stop,10
session,2024-04-04T03:00:00+00:00,2024-04-04T03:04:00+00:00,buy,5277.5,5278.5,22.560000000000002,target,4
session,2024-04-04T03:04:00+00:00,2024-04-04T03:54:00+00:00,buy,5278.5,5279.75,25.05,target,50
session,2024-04-04T03:54:00+00:00,2024-04-04T04:02:00+00:00,buy,5280.0,5280.75,15.06,target,8
session,2024-04-04T04:02:00+00:00,2024-04-04T04:12:00+00:00,buy,5281.0,5280.25,-19.96,stop,10
session,2024-04-04T04:12:00+00:00,2024-04-04T04:32:00+00:00,buy,5280.25,5281.25,18.8,target,20
session,2024-04-04T04:32:00+00:00,2024-04-04T04:36:00+00:00,buy,5281.25,5282.0,17.57,target,4
session,2024-04-04T04:36:00+00:00,2024-04-04T04:46:00+00:00,buy,5282.0,5281.5,-22.439999999999998,stop,10
session,2024-04-04T04:46:00+00:00,2024-04-04T04:50:00+00:00,buy,5281.5,5281.0,-22.439999999999998,stop,4
session,2024-04-04T04:50:00+00:00,2024-04-04T04:58:00+00:00,buy,5281.0,5280.5,-18.7,stop,8
session,2024-04-04T06:36:00+00:00,2024-04-04T06:44:00+00:00,buy,5275.75,5277.25,25.04,target,8
session,2024-04-04T07:02:00+00:00,2024-04-04T07:08:00+00:00,buy,5277.25,5276.0,-22.47,stop,6
session,2024-04-04T07:12:00+00:00,2024-04-04T07:30:00+00:00,buy,5277.75,5280.75,27.52,target,18
session,2024-04-04T07:30:00+00:00,2024-04-04T08:06:00+00:00,buy,5280.0,5282.25,30.03,target,36
session,2024-04-04T08:06:00+00:00,2024-04-04T08:14:00+00:00,buy,5282.5,5281.5,-18.72,stop,8
session,2024-04-04T08:14:00+00:00,2024-04-04T08:30:00+00:00,buy,5281.0,5283.25,30.03,target,16
session,2024-04-04T08:30:00+00:00,2024-04-04T08:34:00+00:00,buy,5284.5,5282.75,-19.98,stop,4
session,2024-04-04T08:34:00+00:00,2024-04-04T08:38:00+00:00,buy,5284.0,5282.25,-19.98,stop,4
session,2024-04-04T08:44:00+00:00,2024-04-04T09:22:00+00:00,buy,5280.75,5282.75,26.28,target,38
session,2024-04-04T09:22:00+00:00,2024-04-04T09:36:00+00:00,buy,5282.75,5282.0,-24.95,stop,14
session,2024-04-04T09:36:00+00:00,2024-04-04T09:44:00+00:00,buy,5282.0,5283.5,25.04,target,8
session,2024-04-04T09:44:00+00:00,2024-04-04T09:48:00+00:00,buy,5283.0,5282.0,-18.72,stop,4
session,2024-04-04T09:48:00+00:00,2024-04-04T10:04:00+00:00,buy,5282.0,5280.75,-22.47,stop,16
session,2024-04-04T10:10:00+00:00,2024-04-04T10:30:00+00:00,buy,5283.0,5281.75,-22.47,stop,20
session,2024-04-04T10:30:00+00:00,2024-04-04T10:36:00+00:00,buy,5281.75,5280.75,-24.96,stop,6
session,2024-04-04T10:48:00+00:00,2024-04-04T10:54:00+00:00,buy,5282.25,5283.75,25.04,target,6
session,2024-04-04T10:54:00+00:00,2024-04-04T10:58:00+00:00,buy,5283.75,5285.25,25.04,target,4
session,2024-04-04T10:58:00+00:00,2024-04-04T11:02:00+00:00,buy,5285.5,5284.5,-18.72,stop,4
session,2024-04-04T11:02:00+00:00,2024-04-04T11:26:00+00:00,buy,5284.25,5283.25,-24.96,stop,24
session,2024-04-04T12:02:00+00:00,2024-04-04T12:30:00+00:00,buy,5282.25,5284.75,22.52,target,28
