strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
regime,2024-04-04T04:36:00+00:00,2024-04-04T04:52:00+00:00,sell,5282.0,5280.75,25.05,target,16
regime,2024-04-04T04:48:00+00:00,2024-04-04T05:00:00+00:00,sell,5281.5,5280.0,25.04,target,12
regime,2024-04-04T04:50:00+00:00,2024-04-04T05:00:00+00:00,buy,5281.0,5280.25,-19.96,stop,10
regime,2024-04-04T04:54:00+00:00,2024-04-04T05:00:00+00:00,buy,5280.75,5280.0,-19.96,stop,6
regime,2024-04-04T04:58:00+00:00,2024-04-04T05:02:00+00:00,buy,5280.5,5279.75,-24.95,stop,4
regime,2024-04-04T04:52:00+00:00,2024-04-04T05:08:00+00:00,sell,5281.0,5279.5,25.04,target,16
regime,2024-04-04T04:56:00+00:00,2024-04-04T05:08:00+00:00,sell,5280.75,5279.5,25.05,target,12
regime,2024-04-04T05:00:00+00:00,2024-04-04T05:08:00+00:00,buy,5280.25,5279.5,-19.96,stop,8
regime,2024-04-04T05:14:00+00:00,2024-04-04T05:16:00+00:00,buy,5280.0,5279.25,-19.96,stop,2
regime,2024-04-04T05:02:00+00:00,2024-04-04T05:18:00+00:00,buy,5279.75,5279.0,-19.96,stop,16
regime,2024-04-04T05:10:00+00:00,2024-04-04T05:22:00+00:00,sell,5279.5,5278.0,25.04,target,12
regime,2024-04-04T05:12:00+00:00,2024-04-04T05:22:00+00:00,sell,5279.75,5278.0,30.04,target,10
regime,2024-04-04T05:16:00+00:00,2024-04-04T05:22:00+00:00,buy,5279.5,5278.5,-24.96,stop,6
regime,2024-04-04T05:18:00+00:00,2024-04-04T05:22:00+00:00,buy,5279.0,5278.25,-19.96,stop,4
regime,2024-04-04T05:20:00+00:00,2024-04-04T05:28:00+00:00,sell,5278.75,5277.25,25.04,target,8
regime,2024-04-04T05:22:00+00:00,2024-04-04T05:28:00+00:00,buy,5278.25,5277.25,-18.72,stop,6
regime,2024-04-04T05:30:00+00:00,2024-04-04T05:36:00+00:00,sell,5277.5,5278.5,-18.72,stop,6
regime,2024-04-04T05:34:00+00:00,2024-04-04T05:36:00+00:00,sell,5277.5,5278.5,-24.96,stop,2
regime,2024-04-04T05:32:00+00:00,2024-04-04T06:00:00+00:00,buy,5277.25,5276.25,-18.72,stop,28
regime,2024-04-04T05:36:00+00:00,2024-04-04T06:00:00+00:00,sell,5278.0,5276.25,22.53,target,24
regime,2024-04-04T05:38:00+00:00,2024-04-04T06:00:00+00:00,sell,5278.0,5276.25,30.04,target,22
regime,2024-04-04T05:40:00+00:00,2024-04-04T06:00:00+00:00,buy,5277.5,5276.5,-24.96,stop,20
regime,2024-04-04T05:42:00+00:00,2024-04-04T06:00:00+00:00,sell,5278.25,5276.5,30.04,target,18
regime,2024-04-04T05:44:00+00:00,2024-04-04T06:00:00+00:00,buy,5277.75,5276.75,-18.72,stop,16
regime,2024-04-04T06:02:00+00:00,2024-04-04T06:10:00+00:00,sell,5275.25,5276.5,-22.47,stop,8
regime,2024-04-04T06:04:00+00:00,2024-04-04T06:24:00+00:00,buy,5276.0,5274.5,-17.48,stop,20
regime,2024-04-04T06:16:00+00:00,2024-04-04T06:24:00+00:00,buy,5276.25,5274.75,-26.22,stop,8
regime,2024-04-04T06:12:00+00:00,2024-04-04T06:44:00+00:00,sell,5276.0,5277.5,-17.48,stop,32
regime,2024-04-04T06:18:00+00:00,2024-04-04T06:44:00+00:00,sell,5276.25,5277.75,-17.48,stop,26
regime,2024-04-04T06:26:00+00:00,2024-04-04T06:44:00+00:00,buy,5275.25,5277.5,30.03,target,18
regime,2024-04-04T06:26:00+00:00,2024-04-04T06:44:00+00:00,buy,5275.25,5277.5,30.03,target,18
regime,2024-04-04T06:18:00+00:00,2024-04-04T06:44:00+00:00,sell,5276.25,5277.75,-17.48,stop,26
regime,2024-04-04T06:14:00+00:00,2024-04-04T07:04:00+00:00,sell,5276.75,5278.25,-17.48,stop,50
regime,2024-04-04T06:32:00+00:00,2024-04-04T07:04:00+00:00,buy,5276.5,5279.0,22.52,target,32
regime,2024-04-04T06:34:00+00:00,2024-04-04T07:04:00+00:00,sell,5276.75,5278.0,-22.47,stop,30
regime,2024-04-04T06:36:00+00:00,2024-04-04T07:04:00+00:00,buy,5275.75,5278.25,22.52,target,28
regime,2024-04-04T07:06:00+00:00,2024-04-04T07:12:00+00:00,sell,5276.5,5278.75,-12.49,stop,6
regime,2024-04-04T07:14:00+00:00,2024-04-04T07:38:00+00:00,sell,5279.25,5282.0,-14.99,stop,24
regime,2024-04-04T07:40:00+00:00,2024-04-04T08:04:00+00:00,sell,5280.25,5282.25,-22.48,stop,24
regime,2024-04-04T07:44:00+00:00,2024-04-04T08:04:00+00:00,sell,5280.0,5282.0,-22.48,stop,20
regime,2024-04-04T07:40:00+00:00,2024-04-04T08:04:00+00:00,sell,5280.25,5282.0,-19.98,stop,24
regime,2024-04-04T07:52:00+00:00,2024-04-04T08:04:00+00:00,sell,5280.5,5282.0,-17.48,stop,12
regime,2024-04-04T07:54:00+00:00,2024-04-04T08:04:00+00:00,buy,5279.5,5282.25,25.02,target,10
regime,2024-04-04T07:52:00+00:00,2024-04-04T08:04:00+00:00,sell,5280.5,5282.25,-19.98,stop,12
regime,2024-04-04T07:42:00+00:00,2024-04-04T08:06:00+00:00,buy,5280.25,5283.5,30.02,target,24
regime,2024-04-04T07:42:00+00:00,2024-04-04T08:06:00+00:00,buy,5280.25,5283.25,27.52,target,24
regime,2024-04-04T07:42:00+00:00,2024-04-04T08:06:00+00:00,buy,5280.25,5283.25,27.52,target,24
regime,2024-04-04T07:58:00+00:00,2024-04-04T08:06:00+00:00,buy,5280.75,5283.5,25.02,target,8
regime,2024-04-04T08:00:00+00:00,2024-04-04T08:06:00+00:00,sell,5281.25,5283.0,-19.98,stop,6
regime,2024-04-04T08:08:00+00:00,2024-04-04T08:14:00+00:00,buy,5283.25,5281.0,-24.98,stop,6
regime,2024-04-04T08:18:00+00:00,2024-04-04T08:22:00+00:00,buy,5282.75,5280.75,-22.48,stop,4
regime,2024-04-04T08:02:00+00:00,2024-04-04T08:30:00+00:00,buy,5281.0,5284.0,27.52,target,28
regime,2024-04-04T08:04:00+00:00,2024-04-04T08:30:00+00:00,sell,5282.0,5284.0,-22.48,stop,26
regime,2024-04-04T08:02:00+00:00,2024-04-04T08:30:00+00:00,buy,5281.0,5284.5,32.52,target,28
