strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
boundary,2025-03-27T01:54:00+00:00,2025-03-27T02:02:00+00:00,sell,5754.0,5756.25,-24.98,stop,8,boundary_fade_orh
boundary,2025-03-28T13:56:00+00:00,2025-03-28T14:00:00+00:00,buy,5708.25,5704.25,-21.24,stop,4,boundary_fade_orl
boundary,2025-04-01T09:48:00+00:00,2025-04-01T10:00:00+00:00,sell,5662.25,5657.25,47.52,target,12,boundary_fade_onh
boundary,2025-04-14T22:58:00+00:00,2025-04-14T23:04:00+00:00,buy,5415.5,5420.5,23.76,target,6,boundary_fade_onl
boundary,2025-05-02T01:42:00+00:00,2025-05-02T01:48:00+00:00,buy,5665.25,5662.0,-17.49,stop,6,boundary_fade_orl
boundary,2025-05-05T22:18:00+00:00,2025-05-05T22:48:00+00:00,sell,5672.25,5667.25,47.52,target,30,boundary_fade_onh
boundary,2025-05-07T06:52:00+00:00,2025-05-07T07:00:00+00:00,sell,5651.5,5653.5,-22.48,stop,8,boundary_fade_orh
boundary,2025-05-13T13:58:00+00:00,2025-05-13T14:00:00+00:00,sell,5888.25,5891.25,-16.24,stop,2,boundary_fade_orh
boundary,2025-05-15T22:48:00+00:00,2025-05-15T22:58:00+00:00,buy,5932.75,5930.75,-22.48,stop,10,boundary_fade_orl
boundary,2025-05-16T01:02:00+00:00,2025-05-16T02:22:00+00:00,buy,5925.25,5930.25,23.76,target,80,boundary_fade_onl
boundary,2025-05-19T13:08:00+00:00,2025-05-19T13:12:00+00:00,buy,5913.75,5911.5,-24.98,stop,4,boundary_fade_orl
boundary,2025-05-20T10:12:00+00:00,2025-05-20T10:16:00+00:00,sell,5965.5,5968.0,-13.74,stop,4,boundary_fade_orh
boundary,2025-05-22T09:38:00+00:00,2025-05-22T09:46:00+00:00,sell,5870.75,5865.75,23.76,target,8,boundary_fade_orh
boundary,2025-05-28T03:46:00+00:00,2025-05-28T04:38:00+00:00,buy,5930.5,5928.75,-19.98,stop,52,boundary_fade_orl
boundary,2025-06-04T08:16:00+00:00,2025-06-04T08:54:00+00:00,sell,5994.75,5989.75,23.76,target,38,boundary_fade_onh
boundary,2025-06-09T03:22:00+00:00,2025-06-09T04:06:00+00:00,buy,5992.75,5997.75,47.52,target,44,boundary_fade_onl
boundary,2025-06-18T07:40:00+00:00,2025-06-18T07:52:00+00:00,sell,6055.75,6050.75,23.76,target,12,boundary_fade_orh
